accession,annotation_type,lab.title,status,date_released,assembly,encyclopedia_version,description
ENCSR697RRP,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0646.1 in GM12878
ENCSR237KTG,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0890.1 in GM12878
ENCSR611QWF,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0889.1 in GM12878
ENCSR507QYA,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1104.2 in GM12878
ENCSR868RCG,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0766.2 in GM12878
ENCSR940VWO,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0482.2 in GM12878
ENCSR226QMZ,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0037.3 in GM12878
ENCSR132BEZ,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0036.3 in GM12878
ENCSR230HVD,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0140.2 in GM12878
ENCSR295ZCX,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0062.3 in GM12878
ENCSR915MAS,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0593.1 in GM12878
ENCSR542BIW,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0480.1 in GM12878
ENCSR905CNM,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0852.2 in GM12878
ENCSR139DCY,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0614.1 in GM12878
ENCSR540CJE,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0479.1 in GM12878
ENCSR717WFL,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0613.1 in GM12878
ENCSR614EQS,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0030.1 in GM12878
ENCSR492QRQ,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1487.1 in GM12878
ENCSR382IGC,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0476.1 in GM12878
ENCSR734XQB,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0478.1 in GM12878
ENCSR578RFT,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1130.1 in GM12878
ENCSR348ONW,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1144.1 in GM12878
ENCSR799CIP,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1138.1 in GM12878
ENCSR300HZN,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0477.2 in GM12878
ENCSR315ISR,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1128.1 in GM12878
ENCSR087JDQ,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1142.1 in GM12878
ENCSR541WVQ,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1137.1 in GM12878
ENCSR746YTZ,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0099.3 in GM12878
ENCSR545WHM,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1141.1 in GM12878
ENCSR836ERY,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1134.1 in GM12878
ENCSR138ZIF,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1127.1 in GM12878
ENCSR446BWZ,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1135.1 in GM12878
ENCSR750IVF,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0475.2 in GM12878
ENCSR350EWK,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0820.1 in GM12878
ENCSR433UBX,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0156.2 in GM12878
ENCSR262KRZ,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1485.1 in GM12878
ENCSR728HRF,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0149.1 in GM12878
ENCSR806LTL,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0888.1 in GM12878
ENCSR585QER,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0887.1 in GM12878
ENCSR969PGB,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0645.1 in GM12878
ENCSR508DLX,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0765.2 in GM12878
ENCSR264IDN,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0764.2 in GM12878
ENCSR872ZZJ,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0763.1 in GM12878
ENCSR450NQV,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0762.1 in GM12878
ENCSR635YBB,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0761.2 in GM12878
ENCSR545GJG,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1484.1 in GM12878
ENCSR512XIZ,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0098.3 in GM12878
ENCSR131VNN,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0643.1 in GM12878
ENCSR818IDS,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0141.3 in GM12878
ENCSR602VPD,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0592.3 in GM12878
ENCSR629ZJD,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0258.2 in GM12878
ENCSR051EAT,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0112.3 in GM12878
ENCSR153BEA,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0474.2 in GM12878
ENCSR263VZP,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0760.1 in GM12878
ENCSR433VCE,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0800.1 in GM12878
ENCSR603SDW,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0642.1 in GM12878
ENCSR469JJQ,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0027.2 in GM12878
ENCSR571LER,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0886.1 in GM12878
ENCSR833WOX,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0612.2 in GM12878
ENCSR185TDW,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0076.2 in GM12878
ENCSR528DBM,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0759.1 in GM12878
ENCSR530ROO,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0028.2 in GM12878
ENCSR209YEK,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0136.2 in GM12878
ENCSR308SZH,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0641.1 in GM12878
ENCSR118DRZ,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0640.2 in GM12878
ENCSR816CYA,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1483.1 in GM12878
ENCSR004PPD,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0473.3 in GM12878
ENCSR767RRS,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0598.3 in GM12878
ENCSR597HWN,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0733.1 in GM12878
ENCSR491MIJ,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0732.1 in GM12878
ENCSR768ADV,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0472.2 in GM12878
ENCSR686ALA,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0162.4 in GM12878
ENCSR301KZQ,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1637.1 in GM12878
ENCSR616RGZ,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1604.1 in GM12878
ENCSR732LCZ,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0154.4 in GM12878
ENCSR634DEX,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0865.1 in GM12878
ENCSR259NJX,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0758.1 in GM12878
ENCSR451UXD,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0471.2 in GM12878
ENCSR246JWY,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0024.3 in GM12878
ENCSR543TPR,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0884.1 in GM12878
ENCSR357VWO,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0468.1 in GM12878
ENCSR410WUS,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1481.1 in GM12878
ENCSR034PBN,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1480.1 in GM12878
ENCSR557DHQ,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1479.1 in GM12878
ENCSR840RAS,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1478.1 in GM12878
ENCSR059BYX,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0610.1 in GM12878
ENCSR252OLK,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1603.1 in GM12878
ENCSR035OLD,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0883.1 in GM12878
ENCSR713LBJ,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0882.1 in GM12878
ENCSR701EDW,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0880.1 in GM12878
ENCSR158NGL,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0019.1 in GM12878
ENCSR606COM,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0639.1 in GM12878
ENCSR046KVJ,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0755.1 in GM12878
ENCSR086RPA,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0139.1 in GM12878
ENCSR329WKS,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1102.2 in GM12878
ENCSR113RNB,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0467.1 in GM12878
ENCSR474VFZ,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0609.2 in GM12878
ENCSR945DJL,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0840.1 in GM12878
ENCSR370NRV,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0638.1 in GM12878
ENCSR031CEG,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1474.1 in GM12878
ENCSR562VQA,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0608.1 in GM12878
ENCSR404VEA,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0839.1 in GM12878
ENCSR467QII,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1155.1 in GM12878
ENCSR536HQX,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1602.1 in GM12878
ENCSR227KLD,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1601.1 in GM12878
ENCSR108DLH,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0753.2 in GM12878
ENCSR651HIU,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1600.1 in GM12878
ENCSR160UTX,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1599.1 in GM12878
ENCSR161WAW,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1657.1 in GM12878
ENCSR507GGY,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1597.1 in GM12878
ENCSR045NEQ,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1596.1 in GM12878
ENCSR947HEH,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1656.1 in GM12878
ENCSR245FBC,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0116.1 in GM12878
ENCSR793FRB,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0752.1 in GM12878
ENCSR532ABC,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1125.1 in GM12878
ENCSR157YFF,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1594.1 in GM12878
ENCSR623NXA,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1655.1 in GM12878
ENCSR216KIW,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1593.1 in GM12878
ENCSR501OWQ,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1154.1 in GM12878
ENCSR717LFR,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1630.1 in GM12878
ENCSR863AWF,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1592.1 in GM12878
ENCSR531IRT,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0528.2 in GM12878
ENCSR530WWW,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1124.1 in GM12878
ENCSR103MSY,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1654.1 in GM12878
ENCSR832LIT,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1653.1 in GM12878
ENCSR464DSW,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0088.2 in GM12878
ENCSR372WXE,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1589.1 in GM12878
ENCSR784SMN,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1588.1 in GM12878
ENCSR702CFJ,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1587.1 in GM12878
ENCSR753KGL,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1652.1 in GM12878
ENCSR002KXT,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1585.1 in GM12878
ENCSR070VAG,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1584.1 in GM12878
ENCSR197TJS,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0751.1 in GM12878
ENCSR522VYD,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0697.1 in GM12878
ENCSR342DXU,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1629.1 in GM12878
ENCSR807DDK,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1628.1 in GM12878
ENCSR793SLN,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0696.1 in GM12878
ENCSR879JOV,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0146.2 in GM12878
ENCSR757IBY,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1583.1 in GM12878
ENCSR088ION,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1651.1 in GM12878
ENCSR888ZPR,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0103.3 in GM12878
ENCSR666TQF,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0695.1 in GM12878
ENCSR991TVU,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0694.1 in GM12878
ENCSR944AWU,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0750.2 in GM12878
ENCSR037WDA,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1581.1 in GM12878
ENCSR601AJQ,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0527.1 in GM12878
ENCSR394BVG,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1580.1 in GM12878
ENCSR557ASQ,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1579.1 in GM12878
ENCSR729HGL,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0698.1 in GM12878
ENCSR563OAP,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1650.1 in GM12878
ENCSR778WCT,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1649.1 in GM12878
ENCSR786XRR,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0748.2 in GM12878
ENCSR251RGI,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0095.2 in GM12878
ENCSR832CHW,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0844.1 in GM12878
ENCSR789KKH,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1627.1 in GM12878
ENCSR781NCH,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0726.1 in GM12878
ENCSR431LRP,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1578.1 in GM12878
ENCSR167SYV,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0724.1 in GM12878
ENCSR919KKR,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0526.3 in GM12878
ENCSR655SMN,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0093.3 in GM12878
ENCSR648XNX,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0633.1 in GM12878
ENCSR294VCR,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1123.2 in GM12878
ENCSR649EBD,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0861.1 in GM12878
ENCSR865QJT,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0525.2 in GM12878
ENCSR265OST,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0106.3 in GM12878
ENCSR899KJT,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1577.1 in GM12878
ENCSR140DBV,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1574.1 in GM12878
ENCSR028WTH,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1573.1 in GM12878
ENCSR267ULX,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0797.1 in GM12878
ENCSR353QOQ,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1572.1 in GM12878
ENCSR558XHU,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1571.1 in GM12878
ENCSR116GBW,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0796.1 in GM12878
ENCSR814RSS,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0871.2 in GM12878
ENCSR356VOU,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0692.1 in GM12878
ENCSR585SKY,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0831.2 in GM12878
ENCSR729BFR,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA1122.1 in GM12878
ENCSR297GAG,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0145.3 in GM12878
ENCSR688GRV,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0691.1 in GM12878
ENCSR021LEN,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA1569.1 in GM12878
ENCSR928FDA,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0524.2 in GM12878
ENCSR172WVG,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0811.1 in GM12878
ENCSR762CBA,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0003.4 in GM12878
ENCSR412DSE,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0843.1 in GM12878
ENCSR575PUG,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0809.2 in GM12878
ENCSR564XDL,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0808.1 in GM12878
ENCSR289XJC,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1121.1 in GM12878
ENCSR436JFQ,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0090.3 in GM12878
ENCSR127BSY,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0632.2 in GM12878
ENCSR653ISM,footprints,"Alan Boyle, University of Michigan",released,2022-03-24,GRCh38,,TRACE footprint calls with PWM MA0769.2 in GM12878
ENCSR290DFV,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA0523.1 in GM12878
ENCSR440MAL,footprints,"Alan Boyle, University of Michigan",released,2022-03-23,GRCh38,,TRACE footprint calls with PWM MA1421.1 in GM12878
ENCSR573IOC,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0830.2 in GM12878
ENCSR427UKR,footprints,"Alan Boyle, University of Michigan",released,2022-03-22,GRCh38,,TRACE footprint calls with PWM MA0832.1 in GM12878
