accession,annotation_type,lab.title,status,date_released,assembly,encyclopedia_version,description
ENCSR020NVK,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on MEF2C ChIP-seq data in GM12878 (ENCSR000BNG)(status:passed)(found direct motif (counts, profile))"
ENCSR496BQS,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on JUNB ChIP-seq data in GM12878 (ENCSR897MMC)(status:passed)(found direct motif (counts, profile))"
ENCSR231QNA,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR764UVH,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on NFATC3 ChIP-seq data in GM12878 (ENCSR437GBJ)(status:passed)(found direct motif (counts, profile))"
ENCSR708LPR,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR461ZEC,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on MAZ ChIP-seq data in GM12878 (ENCSR000DZA)(status:passed)(found direct motif (counts, profile))"
ENCSR195LUF,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR016SWO,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on CREM ChIP-seq data in GM12878 (ENCSR839XZU)(status:passed)(found direct motif (counts, profile))"
ENCSR461OAF,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR343JRI,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,BPNet models trained on CEBPZ ChIP-seq data in GM12878 (ENCSR347NOB)(status:unvalidated)(no known direct/potential direct motif)
ENCSR634PNC,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR842QLN,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on JUND ChIP-seq data in GM12878 (ENCSR000DYS)(status:passed)(found direct motif (counts, profile))"
ENCSR759NEP,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR478NYG,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on ETV6 ChIP-seq data in GM12878 (ENCSR626VUC)(status:passed)(found direct motif (counts, profile))"
ENCSR812MUG,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR466HDF,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on YY1 ChIP-seq data in GM12878 (ENCSR000BNP)(status:passed)(found direct motif (counts, profile))"
ENCSR185NOS,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR855QIU,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on NFATC1 ChIP-seq data in GM12878 (ENCSR000BQL)(status:passed)(found direct motif (counts, profile))"
ENCSR117ZPY,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR292YQD,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on TCF7 ChIP-seq data in GM12878 (ENCSR501DKS)(status:passed)(found direct motif (counts, profile))"
ENCSR622BMW,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR079TDJ,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on CTCF ChIP-seq data in GM12878 (ENCSR000DRZ)(status:passed)(found direct motif (counts, profile))"
ENCSR866ABZ,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR805DLB,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on REST ChIP-seq data in GM12878 (ENCSR000BQS)(status:passed)(found direct motif (counts, profile))"
ENCSR111SRS,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR355QCJ,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on USF2 ChIP-seq data in GM12878 (ENCSR000DZU)(status:passed)(found direct motif (counts, profile))"
ENCSR286GVT,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR898TRL,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on CBFB ChIP-seq data in GM12878 (ENCSR860UHK)(status:passed)(found direct motif (counts, profile))"
ENCSR469QKI,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR784NGD,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on REST ChIP-seq data in GM12878 (ENCSR000BGF)(status:passed)(found direct motif (counts, profile))"
ENCSR475QWK,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR991FIE,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on CTCF ChIP-seq data in GM12878 (ENCSR000DKV)(status:passed)(found direct motif (counts, profile))"
ENCSR828JES,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on CTCF ChIP-seq data in GM12878 (ENCSR000AKB)(status:passed)(found direct motif (counts, profile))"
ENCSR911LWL,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR003PRH,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on RELA ChIP-seq data in GM12878 (ENCSR000EAG)(status:passed)(found direct motif (counts, profile))"
ENCSR734LVS,element gene regulatory interaction predictions,"Roderic Guigo, CRG",released,2023-10-18,GRCh38,,enhancer gene links in GM12878 cell line
ENCSR310DFZ,chromatin state,"Zhiping Weng, UMass",released,2023-05-18,GRCh38,ENCODE v4,ChromHMM 15-state model of GM12878
ENCSR476SAS,element gene regulatory interaction predictions,"Christina Leslie, MSKCC",released,2023-02-13,GRCh38,,GraphRegLR features and prediction scores for GM12878
ENCSR398LKB,candidate Cis-Regulatory Elements,"Zhiping Weng, UMass",released,2022-12-20,GRCh38,ENCODE v4,candidate regulatory elements for GRCh38 in GM12878
ENCSR321BIY,footprints,"Alan Boyle, University of Michigan",released,2022-11-30,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA1657.1 in GM12878
