portal,type,facet,term,count
encode,Experiment,files.file_type,gff gff3,7
encode,Experiment,files.file_type,bigBed bed3+,6
encode,Experiment,files.file_type,bed bedGraph,5
encode,Experiment,files.file_type,bigInteract,5
encode,Experiment,files.file_type,bigWig bed3+,5
encode,Experiment,files.file_type,csfasta,5
encode,Experiment,files.file_type,csqual,5
encode,Experiment,files.file_type,bed bedMethyl,4
encode,Experiment,files.file_type,bed idr_peak,4
encode,Experiment,files.file_type,bigBed bedMethyl,4
encode,Experiment,files.file_type,bigBed idr_peak,4
encode,Experiment,files.file_type,bed bed12,3
encode,Experiment,files.file_type,bed peptideMapping,3
encode,Experiment,files.file_type,bigBed bed12,3
encode,Experiment,files.file_type,bigBed peptideMapping,3
encode,Experiment,files.file_type,idat,3
encode,Experiment,files.file_type,bed bed3,2
encode,Experiment,files.file_type,bed modPepMap,2
encode,Experiment,files.file_type,bed pepMap,2
encode,Experiment,files.file_type,bigBed bed3,2
encode,Experiment,files.file_type,bigBed modPepMap,2
encode,Experiment,files.file_type,bigBed pepMap,2
encode,Experiment,files.file_type,bed bed6+,1
encode,Experiment,files.file_type,bed bedLogR,1
encode,Experiment,files.file_type,bigBed bed6+,1
encode,Experiment,files.file_type,bigBed bed9+,1
encode,Experiment,files.file_type,rcc,1
encode,Experiment,files.file_type,starch,1
encode,Experiment,date_released,2025-09-22,59
encode,Experiment,date_released,2011-07-18,38
encode,Experiment,date_released,2011-10-29,37
encode,Experiment,date_released,2014-07-07,32
encode,Experiment,date_released,2014-06-30,20
encode,Experiment,date_released,2011-02-10,13
encode,Experiment,date_released,2012-05-14,13
encode,Experiment,date_released,2012-02-29,11
encode,Experiment,date_released,2025-09-30,11
encode,Experiment,date_released,2016-05-04,10
encode,Experiment,date_released,2011-10-17,9
encode,Experiment,date_released,2011-04-28,7
encode,Experiment,date_released,2012-08-20,7
encode,Experiment,date_released,2017-05-17,7
encode,Experiment,date_released,2012-02-14,6
encode,Experiment,date_released,2016-11-23,6
encode,Experiment,date_released,2009-07-06,5
encode,Experiment,date_released,2011-03-17,5
encode,Experiment,date_released,2016-06-13,5
encode,Experiment,date_released,2017-06-07,5
encode,Experiment,date_released,2018-01-26,5
encode,Experiment,date_released,2018-10-29,5
encode,Experiment,date_released,2021-01-14,5
encode,Experiment,date_released,2011-02-11,4
encode,Experiment,date_released,2011-02-14,4
encode,Experiment,date_released,2011-08-29,4
encode,Experiment,date_released,2011-09-30,4
encode,Experiment,date_released,2011-12-22,4
encode,Experiment,date_released,2016-01-08,4
encode,Experiment,date_released,2016-08-24,4
encode,Experiment,date_released,2016-09-20,4
encode,Experiment,date_released,2017-06-26,4
encode,Experiment,date_released,2020-08-03,4
encode,Experiment,date_released,2022-01-20,4
encode,Experiment,date_released,2011-01-12,3
encode,Experiment,date_released,2012-02-22,3
encode,Experiment,date_released,2012-09-10,3
encode,Experiment,date_released,2016-11-24,3
encode,Experiment,date_released,2017-01-31,3
encode,Experiment,date_released,2017-02-21,3
encode,Experiment,date_released,2022-03-16,3
encode,Experiment,date_released,2011-02-08,2
encode,Experiment,date_released,2011-03-21,2
encode,Experiment,date_released,2011-03-23,2
encode,Experiment,date_released,2012-07-09,2
encode,Experiment,date_released,2012-09-11,2
encode,Experiment,date_released,2014-05-09,2
encode,Experiment,date_released,2016-02-02,2
encode,Experiment,date_released,2016-06-14,2
encode,Experiment,date_released,2016-07-08,2
encode,Experiment,date_released,2016-07-28,2
encode,Experiment,date_released,2016-10-27,2
encode,Experiment,date_released,2016-11-17,2
encode,Experiment,date_released,2017-01-08,2
encode,Experiment,date_released,2017-04-14,2
encode,Experiment,date_released,2017-11-13,2
encode,Experiment,date_released,2018-02-02,2
encode,Experiment,date_released,2018-10-30,2
encode,Experiment,date_released,2019-05-13,2
encode,Experiment,date_released,2020-08-05,2
encode,Experiment,date_released,2021-01-04,2
encode,Experiment,date_released,2021-09-09,2
encode,Experiment,date_released,2022-05-12,2
encode,Experiment,date_released,2023-12-18,2
encode,Experiment,date_released,2009-10-02,1
encode,Experiment,date_released,2010-11-17,1
encode,Experiment,date_released,2011-04-01,1
encode,Experiment,date_released,2011-04-19,1
encode,Experiment,date_released,2011-05-04,1
encode,Experiment,date_released,2011-06-14,1
encode,Experiment,date_released,2011-07-29,1
encode,Experiment,date_released,2011-08-16,1
encode,Experiment,date_released,2011-09-29,1
encode,Experiment,date_released,2011-10-10,1
encode,Experiment,date_released,2011-11-14,1
encode,Experiment,date_released,2011-12-01,1
encode,Experiment,date_released,2012-01-17,1
encode,Experiment,date_released,2012-03-06,1
encode,Experiment,date_released,2012-03-22,1
encode,Experiment,date_released,2013-03-29,1
encode,Experiment,date_released,2014-07-31,1
encode,Experiment,date_released,2014-09-29,1
encode,Experiment,date_released,2014-11-20,1
